Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors
Shermer High School,12:00pm - 1:00pm,12/10/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,B,"B,W",M,7,F,A14064896BZD,2024-2025,2Q,4
Springfield Elementary,9:00am - 10:00am,04/19/2024,Minor Violation (5 times in the same quarter),Other,,Bathroom,17,W,W,M,0,P,A16350788BZD,2023-2024,4Q,1
Springfield Elementary,1:00pm - 2:00pm,08/19/2024,Major Violation,,Continued Misconduct,Classroom,17,W,W,F,0,P,A16709699BZD,2024-2025,1Q,0
Springfield Elementary,9:00am - 10:00am,09/04/2024,Minor Violation (5 times in the same quarter),Other,,Bathroom,17,W,W,F,0,F,A16709699BZD,2024-2025,1Q,1
Springfield Elementary,1:00pm - 2:00pm,08/19/2024,Major Violation,,Assault,Media Center,17,W,W,F,0,F,A16709699BZD,2024-2025,1Q,1
Springfield Elementary,11:00am - 12:00pm,10/03/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Cafeteria,17,W,W,M,1,F,A16350788BZD,2024-2025,1Q,1
Bayside,9:00am - 10:00am,10/28/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,15,W,W,M,3,F,A15144443BZD,2024-2025,2Q,1
Bayside,2:00pm -3:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,3,F,A15144443BZD,2024-2025,2Q,2
Bayside,12:00pm - 1:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,3,F,A15144443BZD,2024-2025,2Q,3
Bayside,12:00pm - 1:00pm,11/22/2024,Major Violation,,Continued Misconduct,Classroom,15,W,W,M,3,F,A15144443BZD,2024-2025,2Q,3
