Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Ethnicity,Gender,Grade_Level,LunchStatus,Student_Number
Bayside,2:00pm -3:00pm,09/16/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,F,A15849686BZD
Bayside,2:00pm -3:00pm,09/16/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,F,A15470483BZD
Bayside,Unknown,09/16/2024,Major Violation,,Continued Misconduct,W,M,2,F,A15659372BZD
Bayside,12:00pm - 1:00pm,09/17/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A15142544BZD
Bayside,1:00pm - 2:00pm,09/17/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15277364BZD
Bayside,11:00am - 12:00pm,09/17/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,F,A15470483BZD
Shermer High School,11:00am - 12:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,9,F,A13065230BZD
Bayside,11:00am - 12:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Other,,P,F,2,F,A16174169BZD
Bayside,1:00pm - 2:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15849578BZD
Bayside,2:00pm -3:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15597938BZD
Bayside,2:00pm -3:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,F,A15470483BZD
Bayside,10:00am-11:00am,09/18/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,F,A15849686BZD
Bayside,1:00pm - 2:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A14011100BZD
Shermer High School,10:00am-11:00am,09/19/2024,Minor Violation (5 times in the same quarter),Insubordination,,H,M,11,F,A12685229BZD
Shermer High School,10:00am-11:00am,09/19/2024,Minor Violation (5 times in the same quarter),Disruption,,H,M,11,F,A12685229BZD
Shermer High School,10:00am-11:00am,09/19/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,11,F,A12419144BZD
Bayside,11:00am - 12:00pm,09/19/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15849686BZD
Shermer High School,10:00am-11:00am,09/19/2024,Minor Violation (5 times in the same quarter),Other,,W,M,11,F,A12419144BZD
Bayside,9:00am - 10:00am,09/19/2024,Minor Violation (5 times in the same quarter),Other,,H,M,3,F,A16160957BZD
Shermer High School,10:00am-11:00am,09/19/2024,Major Violation,,Continued Misconduct,H,M,11,F,A12685229BZD
Shermer High School,10:00am-11:00am,09/19/2024,Major Violation,,Continued Misconduct,W,M,11,F,A12419144BZD
Bayside,8:00am - 9:00am,09/20/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,3,F,A15437579BZD
Bayside,8:00am - 9:00am,09/20/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,3,F,A15204425BZD
Bayside,12:00pm - 1:00pm,09/20/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,F,A15027062BZD
Bayside,10:00am-11:00am,09/20/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,3,F,A15144413BZD
Bayside,10:00am-11:00am,09/20/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,H,M,3,F,A16160957BZD
Bayside,12:00pm - 1:00pm,09/20/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,F,A15142052BZD
Bayside,10:00am-11:00am,09/20/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,2,F,A15597683BZD
Bayside,11:00am - 12:00pm,09/20/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,4,F,A14850692BZD
Springfield Elementary,Before School,09/06/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,F,A15903068BZD
Springfield Elementary,After School,08/26/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,F,A15903068BZD
Springfield Elementary,9:00am - 10:00am,09/04/2024,Minor Violation (5 times in the same quarter),Other,,W,F,0,F,A16709699BZD
Springfield Elementary,9:00am - 10:00am,09/04/2024,Minor Violation (5 times in the same quarter),Other,,B,M,0,F,A16741145BZD
Springfield Elementary,11:00am - 12:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A16747481BZD
Springfield Elementary,1:00pm - 2:00pm,09/12/2024,Minor Violation (5 times in the same quarter),Other,,W,F,1,F,A15405575BZD
Springfield Elementary,10:00am-11:00am,09/04/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,0,F,A16709399BZD
Springfield Elementary,9:00am - 10:00am,09/17/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A16030904BZD
Springfield Elementary,12:00pm - 1:00pm,09/17/2024,Minor Violation (5 times in the same quarter),Other,,W,M,1,F,A15850136BZD
Springfield Elementary,1:00pm - 2:00pm,08/19/2024,Major Violation,,Assault,W,F,0,F,A16709699BZD
Springfield Elementary,12:00pm - 1:00pm,08/20/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A16747481BZD
Bayside,12:00pm - 1:00pm,09/23/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A15034922BZD
Bayside,1:00pm - 2:00pm,09/23/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,2,F,A15659372BZD
Bayside,8:00am - 9:00am,09/24/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A16417805BZD
Bayside,8:00am - 9:00am,09/24/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A16713839BZD
Bayside,9:00am - 10:00am,09/24/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A15470480BZD
Bayside,9:00am - 10:00am,09/24/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,3,F,A15598055BZD
